  lpf1,   lpf2,   lpf3,   lpf4,   lpf5,   lpf6,   lpf7,   hpf1,   hpf2,   hpf3,   hpf4,   hpf5,   hpf6,   hpf7,   bpf1,   bpf2,   bpf3,   bpf4,   bpf5,   bsf1,   bsf2,   bsf3,   bsf4,   bsf5
    -1,    -24,    -61,   -117,   -186,   -249,   -268,   -199,      0,    357,    876,   1527,   2247,   2951,   3544,   3940,   4079,   3940,   3544,   2951,   2247,   1527,    876,    357
     0,   -199,   -268,   -249,   -186,   -117,    -61,    -24,     -1,     -1,    -44,    -86,    -90,      0,    191,    380,    369,     -1,   -666,  -1248,  -1177,      0,   2273,   5044
  7327,   8211,   7327,   5044,   2273,      0,  -1177,  -1248,   -666,     -1,    369,    380,    191,      0,    -90,    -86,    -44,     -1,     -1,    -58,    -61,     48,    187,    103
  -269,   -484,      0,    868,    881,   -637,  -2261,  -1230,   3565,   9569,  12311,   9569,   3565,  -1230,  -2261,   -637,    881,    868,      0,   -484,   -269,    103,    187,     48
   -61,    -58,     -1,     -1,    -62,      0,    126,     -1,   -271,      0,    522,     -1,   -940,      0,   1661,     -1,  -3212,      0,  10352,  16407,  10352,      0,  -3212,     -1
  1661,      0,   -940,     -1,    522,      0,   -271,     -1,    126,      0,    -62,     -1,     -1,    -58,     60,     48,   -187,    103,    268,   -483,      0,    867,   -882,   -636
  2258,  -1229,  -3563,   9560,  20499,   9560,  -3563,  -1229,   2258,   -636,   -882,    867,      0,   -483,    268,    103,   -187,     48,     60,    -58,     -1,     -1,    -44,     85
   -90,      0,    190,   -380,    369,     -1,   -664,   1245,  -1175,      0,   2269,  -5036,   7314,  24591,   7314,  -5036,   2269,      0,  -1175,   1245,   -664,     -1,    369,   -380
   190,      0,    -90,     85,    -44,     -1,     -1,    -24,     60,   -117,    186,   -250,    268,   -200,      0,    359,   -881,   1533,  -2257,   2964,  -3560,   3957,  28680,   3957
 -3560,   2964,  -2257,   1533,   -881,    359,      0,   -200,    268,   -250,    186,   -117,     60,    -24,     -1,     -1,     23,     60,    116,    186,    249,    268,    199,     -1
  -360,   -881,  -1534,  -2257,  -2965,  -3560,  -3958,  28680,  -3958,  -3560,  -2965,  -2257,  -1534,   -881,   -360,     -1,    199,    268,    249,    186,    116,     60,     23,     -1
    -1,     43,     85,     89,     -1,   -191,   -380,   -370,     -1,    663,   1245,   1174,     -1,  -2270,  -5036,  -7315,  24591,  -7315,  -5036,  -2270,     -1,   1174,   1245,    663
    -1,   -370,   -380,   -191,     -1,     89,     85,     43,     -1,     -1,     57,     60,    -49,   -187,   -104,    268,    482,     -1,   -868,   -882,    635,   2258,   1228,  -3563
 -9561,  20499,  -9561,  -3563,   1228,   2258,    635,   -882,   -868,     -1,    482,    268,   -104,   -187,    -49,     60,     57,     -1,     -1,     61,     -1,   -127,     -1,    270
    -1,   -523,     -1,    939,     -1,  -1662,     -1,   3211,     -1, -10353,  16407, -10353,     -1,   3211,     -1,  -1662,     -1,    939,     -1,   -523,     -1,    270,     -1,   -127
    -1,     61,     -1,     -1,     57,    -61,    -49,    187,   -104,   -269,    483,     -1,   -869,    881,    636,  -2261,   1229,   3565,  -9570,  12311,  -9570,   3565,   1229,  -2261
   636,    881,   -869,     -1,    483,   -269,   -104,    187,    -49,    -61,     57,     -1,     -1,     43,    -86,     89,     -1,   -192,    380,   -370,     -1,    665,  -1248,   1176
    -1,  -2274,   5044,  -7328,   8211,  -7328,   5044,  -2274,     -1,   1176,  -1248,    665,     -1,   -370,    380,   -192,     -1,     89,    -86,     43,     -1,     -1,     23,    -61
   116,   -186,    248,   -268,    198,     -1,   -358,    876,  -1528,   2247,  -2952,   3544,  -3941,   4079,  -3941,   3544,  -2952,   2247,  -1528,    876,   -358,     -1,    198,   -268
   248,   -186,    116,    -61,     23,     -1,     -1,    -34,      0,    164,    371,    350,     -1,   -282,      0,    505,     -1,  -2159,  -4493,  -4172,      0,   5569,   8155,   5569
     0,  -4172,  -4493,  -2159,     -1,    505,      0,   -282,     -1,    350,    371,    164,      0,    -34,     -1,     -1,    -19,     85,    214,     -1,   -459,   -378,    152,     -1
  -274,   1239,   2820,     -1,  -5452,  -5011,   3014,   8156,   3014,  -5011,  -5452,     -1,   2820,   1239,   -274,     -1,    152,   -378,   -459,     -1,    214,     85,    -19,     -1
    -1,      0,    120,     -1,   -372,     -1,    534,     -1,      0,     -1,  -1753,      0,   4493,     -1,  -7087,      0,   8156,      0,  -7087,     -1,   4493,      0,  -1753,     -1
     0,     -1,    534,     -1,   -372,     -1,    120,      0,     -1,     -1,     18,     85,   -215,      0,    458,   -378,   -153,     -1,    273,   1239,  -2821,      0,   5451,  -5011
 -3015,   8156,  -3015,  -5011,   5451,      0,  -2821,   1239,    273,     -1,   -153,   -378,    458,      0,   -215,     85,     18,     -1,     -1,     33,     -1,   -165,    371,   -351
     0,    281,      0,   -506,      0,   2158,  -4493,   4171,     -1,  -5570,   8155,  -5570,     -1,   4171,  -4493,   2158,      0,   -506,      0,    281,      0,   -351,    371,   -165
    -1,     33,     -1,     -1,     33,     -1,   -165,   -372,   -351,     -1,    280,     -1,   -505,     -1,   2155,   4485,   4165,     -1,  -5562,  24430,  -5562,     -1,   4165,   4485
  2155,     -1,   -505,     -1,    280,     -1,   -351,   -372,   -165,     -1,     33,     -1,     -1,     18,    -86,   -216,     -1,    460,    379,   -153,     -1,    275,  -1246,  -2836
    -1,   5480,   5037,  -3031,  24599,  -3031,   5037,   5480,     -1,  -2836,  -1246,    275,     -1,   -153,    379,    460,     -1,   -216,    -86,     18,     -1,     -1,      0,   -122
     0,    373,      0,   -538,      0,     -1,      0,   1762,      0,  -4517,      0,   7124,      0,  24599,      0,   7124,      0,  -4517,      0,   1762,      0,     -1,      0,   -538
     0,    373,      0,   -122,      0,     -1,     -1,    -19,    -86,    215,     -1,   -461,    379,    152,     -1,   -276,  -1246,   2835,     -1,  -5480,   5036,   3030,  24595,   3030
  5036,  -5480,     -1,   2835,  -1246,   -276,     -1,    152,    379,   -461,     -1,    215,    -86,    -19,     -1,     -1,    -34,      0,    165,   -374,    352,     -1,   -283,     -1
   508,     -1,  -2170,   4515,  -4194,     -1,   5598,  24592,   5598,     -1,  -4194,   4515,  -2170,     -1,    508,     -1,   -283,     -1,    352,   -374,    165,      0,    -34,     -1
